ID,artist,title,picture data,file info,jpg url
31337,PIERO DELLA FRANCESCA,7b. recognition of the true cross (detail),"1452-66, fresco, san francesco, arezzo","1000*1148, true color, 201 kb",https://www.wga.hu/art/p/piero/2/7/7find12.jpg
31338,PIERO DELLA FRANCESCA,7b. recognition of the true cross (detail),"1452-66, fresco, san francesco, arezzo","1000*1169, true color, 214 kb",https://www.wga.hu/art/p/piero/2/7/7find13.jpg
31339,PIERO DELLA FRANCESCA,7b. recognition of the true cross (detail),"1452-66, fresco, san francesco, arezzo","900*1031, true color, 172 kb",https://www.wga.hu/art/p/piero/2/7/7find14.jpg
31340,PIERO DELLA FRANCESCA,7b. recognition of the true cross (detail),"1452-66, fresco, san francesco, arezzo","1000*1170, true color, 188 kb",https://www.wga.hu/art/p/piero/2/7/7find15.jpg
31341,PIERO DELLA FRANCESCA,7b. recognition of the true cross (detail),"1452-66, fresco, san francesco, arezzo","800*927, true color, 132 kb",https://www.wga.hu/art/p/piero/2/7/7find16.jpg
31342,PIERO DELLA FRANCESCA,7b. recognition of the true cross (detail),"1452-66, fresco, san francesco, arezzo","900*1042, true color, 197 kb",https://www.wga.hu/art/p/piero/2/7/7find17.jpg
31343,PIERO DELLA FRANCESCA,7b. recognition of the true cross (detail),"1452-66, fresco, san francesco, arezzo","850*990, true color, 132 kb",https://www.wga.hu/art/p/piero/2/7/7find18.jpg
31344,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes,"1452-66, fresco, 329 x 747 cm, san francesco, arezzo","1600*721, true color, 237 kb",https://www.wga.hu/art/p/piero/2/8/8herac01.jpg
31345,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","1100*1000, true color, 206 kb",https://www.wga.hu/art/p/piero/2/8/8herac02.jpg
31346,PIERO DELLA FRANCESCA,8. battle between heraclius and chosroes (detail),"1452-66, fresco, san francesco, arezzo","900*1055, true color, 180 kb",https://www.wga.hu/art/p/piero/2/8/8herac15.jpg
